seed,arm,frame,tile_idx,n_all_classes,n_plant,max_det,hit_cap
stock_s0,tile,20260705_132815_000276.jpg,28,202,111,12000,0
stock_s0,tile,20260705_132815_000276.jpg,29,294,169,12000,0
stock_s0,tile,20260705_132815_000276.jpg,30,264,143,12000,0
stock_s0,tile,20260705_132815_000276.jpg,31,265,137,12000,0
stock_s0,tile_addfull,20260705_132815_000276.jpg,-1,1452,492,12000,0
stock_s0,tile,20260705_132815_000312.jpg,0,583,250,12000,0
stock_s0,tile,20260705_132815_000312.jpg,1,643,240,12000,0
stock_s0,tile,20260705_132815_000312.jpg,2,691,261,12000,0
stock_s0,tile,20260705_132815_000312.jpg,3,497,156,12000,0
stock_s0,tile,20260705_132815_000312.jpg,4,513,187,12000,0
stock_s0,tile,20260705_132815_000312.jpg,5,518,262,12000,0
stock_s0,tile,20260705_132815_000312.jpg,6,401,224,12000,0
stock_s0,tile,20260705_132815_000312.jpg,7,367,202,12000,0
stock_s0,tile,20260705_132815_000312.jpg,8,313,165,12000,0
stock_s0,tile,20260705_132815_000312.jpg,9,449,230,12000,0
stock_s0,tile,20260705_132815_000312.jpg,10,426,259,12000,0
stock_s0,tile,20260705_132815_000312.jpg,11,307,185,12000,0
stock_s0,tile,20260705_132815_000312.jpg,12,399,234,12000,0
stock_s0,tile,20260705_132815_000312.jpg,13,392,242,12000,0
stock_s0,tile,20260705_132815_000312.jpg,14,318,200,12000,0
stock_s0,tile,20260705_132815_000312.jpg,15,359,221,12000,0
stock_s0,tile,20260705_132815_000312.jpg,16,291,151,12000,0
stock_s0,tile,20260705_132815_000312.jpg,17,277,132,12000,0
stock_s0,tile,20260705_132815_000312.jpg,18,340,197,12000,0
stock_s0,tile,20260705_132815_000312.jpg,19,159,99,12000,0
stock_s0,tile,20260705_132815_000312.jpg,20,350,235,12000,0
stock_s0,tile,20260705_132815_000312.jpg,21,374,221,12000,0
stock_s0,tile,20260705_132815_000312.jpg,22,240,139,12000,0
stock_s0,tile,20260705_132815_000312.jpg,23,201,94,12000,0
stock_s0,tile,20260705_132815_000312.jpg,24,91,48,12000,0
stock_s0,tile,20260705_132815_000312.jpg,25,171,93,12000,0
stock_s0,tile,20260705_132815_000312.jpg,26,161,101,12000,0
stock_s0,tile,20260705_132815_000312.jpg,27,106,65,12000,0
stock_s0,tile,20260705_132815_000312.jpg,28,302,187,12000,0
stock_s0,tile,20260705_132815_000312.jpg,29,293,157,12000,0
stock_s0,tile,20260705_132815_000312.jpg,30,306,192,12000,0
stock_s0,tile,20260705_132815_000312.jpg,31,308,183,12000,0
stock_s0,tile_addfull,20260705_132815_000312.jpg,-1,1462,487,12000,0
stock_s0,tile,20260705_132815_000336.jpg,0,557,271,12000,0
stock_s0,tile,20260705_132815_000336.jpg,1,580,239,12000,0
stock_s0,tile,20260705_132815_000336.jpg,2,622,241,12000,0
stock_s0,tile,20260705_132815_000336.jpg,3,503,161,12000,0
stock_s0,tile,20260705_132815_000336.jpg,4,518,199,12000,0
stock_s0,tile,20260705_132815_000336.jpg,5,484,269,12000,0
stock_s0,tile,20260705_132815_000336.jpg,6,356,185,12000,0
stock_s0,tile,20260705_132815_000336.jpg,7,371,201,12000,0
stock_s0,tile,20260705_132815_000336.jpg,8,312,175,12000,0
stock_s0,tile,20260705_132815_000336.jpg,9,432,245,12000,0
stock_s0,tile,20260705_132815_000336.jpg,10,442,280,12000,0
stock_s0,tile,20260705_132815_000336.jpg,11,326,173,12000,0
stock_s0,tile,20260705_132815_000336.jpg,12,415,248,12000,0
stock_s0,tile,20260705_132815_000336.jpg,13,433,281,12000,0
stock_s0,tile,20260705_132815_000336.jpg,14,359,226,12000,0
stock_s0,tile,20260705_132815_000336.jpg,15,384,250,12000,0
stock_s0,tile,20260705_132815_000336.jpg,16,287,163,12000,0
stock_s0,tile,20260705_132815_000336.jpg,17,240,119,12000,0
stock_s0,tile,20260705_132815_000336.jpg,18,296,166,12000,0
stock_s0,tile,20260705_132815_000336.jpg,19,175,101,12000,0
stock_s0,tile,20260705_132815_000336.jpg,20,312,215,12000,0
stock_s0,tile,20260705_132815_000336.jpg,21,301,175,12000,0
stock_s0,tile,20260705_132815_000336.jpg,22,283,169,12000,0
stock_s0,tile,20260705_132815_000336.jpg,23,204,125,12000,0
stock_s0,tile,20260705_132815_000336.jpg,24,133,75,12000,0
stock_s0,tile,20260705_132815_000336.jpg,25,172,90,12000,0
stock_s0,tile,20260705_132815_000336.jpg,26,199,120,12000,0
stock_s0,tile,20260705_132815_000336.jpg,27,75,38,12000,0
stock_s0,tile,20260705_132815_000336.jpg,28,264,176,12000,0
stock_s0,tile,20260705_132815_000336.jpg,29,259,156,12000,0
stock_s0,tile,20260705_132815_000336.jpg,30,319,169,12000,0
stock_s0,tile,20260705_132815_000336.jpg,31,314,167,12000,0
stock_s0,tile_addfull,20260705_132815_000336.jpg,-1,1517,505,12000,0
stock_s0,tile,20260705_132815_000408.jpg,0,524,259,12000,0
stock_s0,tile,20260705_132815_000408.jpg,1,624,258,12000,0
stock_s0,tile,20260705_132815_000408.jpg,2,614,249,12000,0
stock_s0,tile,20260705_132815_000408.jpg,3,467,194,12000,0
stock_s0,tile,20260705_132815_000408.jpg,4,544,221,12000,0
stock_s0,tile,20260705_132815_000408.jpg,5,483,216,12000,0
stock_s0,tile,20260705_132815_000408.jpg,6,415,250,12000,0
stock_s0,tile,20260705_132815_000408.jpg,7,415,248,12000,0
stock_s0,tile,20260705_132815_000408.jpg,8,358,221,12000,0
stock_s0,tile,20260705_132815_000408.jpg,9,349,189,12000,0
stock_s0,tile,20260705_132815_000408.jpg,10,337,199,12000,0
stock_s0,tile,20260705_132815_000408.jpg,11,250,163,12000,0
stock_s0,tile,20260705_132815_000408.jpg,12,297,185,12000,0
stock_s0,tile,20260705_132815_000408.jpg,13,356,240,12000,0
stock_s0,tile,20260705_132815_000408.jpg,14,280,165,12000,0
stock_s0,tile,20260705_132815_000408.jpg,15,323,198,12000,0
stock_s0,tile,20260705_132815_000408.jpg,16,173,80,12000,0
stock_s0,tile,20260705_132815_000408.jpg,17,238,125,12000,0
stock_s0,tile,20260705_132815_000408.jpg,18,198,90,12000,0
stock_s0,tile,20260705_132815_000408.jpg,19,204,129,12000,0
stock_s0,tile,20260705_132815_000408.jpg,20,232,142,12000,0
stock_s0,tile,20260705_132815_000408.jpg,21,257,157,12000,0
stock_s0,tile,20260705_132815_000408.jpg,22,274,161,12000,0
stock_s0,tile,20260705_132815_000408.jpg,23,235,137,12000,0
stock_s0,tile,20260705_132815_000408.jpg,24,73,33,12000,0
stock_s0,tile,20260705_132815_000408.jpg,25,218,145,12000,0
stock_s0,tile,20260705_132815_000408.jpg,26,62,32,12000,0
stock_s0,tile,20260705_132815_000408.jpg,27,88,49,12000,0
stock_s0,tile,20260705_132815_000408.jpg,28,267,158,12000,0
stock_s0,tile,20260705_132815_000408.jpg,29,182,111,12000,0
stock_s0,tile,20260705_132815_000408.jpg,30,250,151,12000,0
stock_s0,tile,20260705_132815_000408.jpg,31,267,154,12000,0
stock_s0,tile_addfull,20260705_132815_000408.jpg,-1,1635,513,12000,0
stock_s0,tile,20260705_132815_000432.jpg,0,562,267,12000,0
stock_s0,tile,20260705_132815_000432.jpg,1,652,250,12000,0
stock_s0,tile,20260705_132815_000432.jpg,2,664,252,12000,0
stock_s0,tile,20260705_132815_000432.jpg,3,479,202,12000,0
stock_s0,tile,20260705_132815_000432.jpg,4,537,229,12000,0
stock_s0,tile,20260705_132815_000432.jpg,5,513,238,12000,0
stock_s0,tile,20260705_132815_000432.jpg,6,383,200,12000,0
stock_s0,tile,20260705_132815_000432.jpg,7,397,225,12000,0
stock_s0,tile,20260705_132815_000432.jpg,8,407,220,12000,0
stock_s0,tile,20260705_132815_000432.jpg,9,397,205,12000,0
stock_s0,tile,20260705_132815_000432.jpg,10,381,223,12000,0
stock_s0,tile,20260705_132815_000432.jpg,11,246,167,12000,0
stock_s0,tile,20260705_132815_000432.jpg,12,340,220,12000,0
stock_s0,tile,20260705_132815_000432.jpg,13,426,285,12000,0
stock_s0,tile,20260705_132815_000432.jpg,14,305,196,12000,0
stock_s0,tile,20260705_132815_000432.jpg,15,354,209,12000,0
stock_s0,tile,20260705_132815_000432.jpg,16,169,87,12000,0
stock_s0,tile,20260705_132815_000432.jpg,17,240,124,12000,0
stock_s0,tile,20260705_132815_000432.jpg,18,190,94,12000,0
stock_s0,tile,20260705_132815_000432.jpg,19,189,119,12000,0
stock_s0,tile,20260705_132815_000432.jpg,20,202,151,12000,0
stock_s0,tile,20260705_132815_000432.jpg,21,214,108,12000,0
stock_s0,tile,20260705_132815_000432.jpg,22,244,149,12000,0
stock_s0,tile,20260705_132815_000432.jpg,23,224,133,12000,0
stock_s0,tile,20260705_132815_000432.jpg,24,37,23,12000,0
stock_s0,tile,20260705_132815_000432.jpg,25,216,132,12000,0
stock_s0,tile,20260705_132815_000432.jpg,26,58,29,12000,0
stock_s0,tile,20260705_132815_000432.jpg,27,79,44,12000,0
stock_s0,tile,20260705_132815_000432.jpg,28,194,118,12000,0
stock_s0,tile,20260705_132815_000432.jpg,29,164,96,12000,0
stock_s0,tile,20260705_132815_000432.jpg,30,211,122,12000,0
stock_s0,tile,20260705_132815_000432.jpg,31,197,104,12000,0
stock_s0,tile_addfull,20260705_132815_000432.jpg,-1,1586,544,12000,0
stock_s0,tile,20260705_132815_000492.jpg,0,526,248,12000,0
stock_s0,tile,20260705_132815_000492.jpg,1,639,236,12000,0
stock_s0,tile,20260705_132815_000492.jpg,2,666,245,12000,0
stock_s0,tile,20260705_132815_000492.jpg,3,486,203,12000,0
stock_s0,tile,20260705_132815_000492.jpg,4,544,228,12000,0
stock_s0,tile,20260705_132815_000492.jpg,5,541,252,12000,0
stock_s0,tile,20260705_132815_000492.jpg,6,399,224,12000,0
stock_s0,tile,20260705_132815_000492.jpg,7,401,239,12000,0
stock_s0,tile,20260705_132815_000492.jpg,8,303,172,12000,0
stock_s0,tile,20260705_132815_000492.jpg,9,383,211,12000,0
stock_s0,tile,20260705_132815_000492.jpg,10,340,194,12000,0
stock_s0,tile,20260705_132815_000492.jpg,11,259,178,12000,0
stock_s0,tile,20260705_132815_000492.jpg,12,330,231,12000,0
stock_s0,tile,20260705_132815_000492.jpg,13,374,225,12000,0
stock_s0,tile,20260705_132815_000492.jpg,14,312,198,12000,0
stock_s0,tile,20260705_132815_000492.jpg,15,312,204,12000,0
stock_s0,tile,20260705_132815_000492.jpg,16,315,193,12000,0
stock_s0,tile,20260705_132815_000492.jpg,17,179,83,12000,0
stock_s0,tile,20260705_132815_000492.jpg,18,226,129,12000,0
stock_s0,tile,20260705_132815_000492.jpg,19,121,61,12000,0
stock_s0,tile,20260705_132815_000492.jpg,20,179,118,12000,0
stock_s0,tile,20260705_132815_000492.jpg,21,203,126,12000,0
stock_s0,tile,20260705_132815_000492.jpg,22,317,191,12000,0
stock_s0,tile,20260705_132815_000492.jpg,23,245,155,12000,0
stock_s0,tile,20260705_132815_000492.jpg,24,137,78,12000,0
stock_s0,tile,20260705_132815_000492.jpg,25,221,117,12000,0
stock_s0,tile,20260705_132815_000492.jpg,26,88,48,12000,0
stock_s0,tile,20260705_132815_000492.jpg,27,46,20,12000,0
stock_s0,tile,20260705_132815_000492.jpg,28,185,125,12000,0
stock_s0,tile,20260705_132815_000492.jpg,29,29,12,12000,0
stock_s0,tile,20260705_132815_000492.jpg,30,110,65,12000,0
stock_s0,tile,20260705_132815_000492.jpg,31,143,81,12000,0
stock_s0,tile_addfull,20260705_132815_000492.jpg,-1,1515,520,12000,0
stock_s0,tile,20260705_132815_000564.jpg,0,581,238,12000,0
stock_s0,tile,20260705_132815_000564.jpg,1,727,268,12000,0
stock_s0,tile,20260705_132815_000564.jpg,2,588,222,12000,0
stock_s0,tile,20260705_132815_000564.jpg,3,429,167,12000,0
stock_s0,tile,20260705_132815_000564.jpg,4,431,186,12000,0
