epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,231.752,1.90718,1.23994,1.3502,0.49496,0.49809,0.47875,0.20296,1.94835,1.37036,1.50393,0.00118015,0.00118015,0.00118015
61,235.659,1.89497,1.19561,1.33144,0.52977,0.49456,0.46145,0.18373,2.05728,1.39174,1.58103,0.0011719,0.0011719,0.0011719
62,239.504,1.87855,1.20695,1.31797,0.51798,0.48373,0.44805,0.17768,2.06415,1.40062,1.58704,0.00116365,0.00116365,0.00116365
63,243.344,1.85608,1.17723,1.31353,0.5292,0.43447,0.45976,0.17617,2.12012,1.39939,1.6005,0.0011554,0.0011554,0.0011554
64,247.191,1.91992,1.20704,1.33335,0.50985,0.42903,0.43308,0.17242,2.11138,1.44649,1.59065,0.00114715,0.00114715,0.00114715
65,251.019,1.86636,1.19232,1.32815,0.53813,0.45935,0.45525,0.18173,2.06661,1.40542,1.56572,0.00113889,0.00113889,0.00113889
66,254.854,1.86089,1.17411,1.31761,0.41747,0.48541,0.44093,0.17867,2.07655,1.39111,1.58112,0.00113064,0.00113064,0.00113064
67,258.681,1.84695,1.16759,1.31671,0.53317,0.52187,0.4908,0.19204,2.02552,1.35197,1.54744,0.00112239,0.00112239,0.00112239
68,262.507,1.87232,1.18533,1.32382,0.56663,0.47587,0.48666,0.19905,2.03429,1.38163,1.5556,0.00111414,0.00111414,0.00111414
69,266.349,1.87818,1.21557,1.3461,0.54976,0.49026,0.51026,0.21094,2.0158,1.33205,1.50014,0.00110589,0.00110589,0.00110589
70,270.205,1.89287,1.18962,1.3436,0.58968,0.47122,0.48945,0.19177,2.05231,1.3996,1.5461,0.00109764,0.00109764,0.00109764
71,274.026,1.85608,1.18101,1.31743,0.5922,0.44545,0.47961,0.19266,2.08953,1.43637,1.58133,0.00108938,0.00108938,0.00108938
72,277.88,1.83274,1.17552,1.31371,0.55211,0.43341,0.45526,0.18945,2.0554,1.44416,1.55994,0.00108113,0.00108113,0.00108113
73,281.715,1.89018,1.17699,1.32563,0.4995,0.47001,0.44822,0.16033,2.21862,1.41889,1.69039,0.00107288,0.00107288,0.00107288
74,285.56,1.8625,1.17371,1.3051,0.52325,0.55016,0.50348,0.21177,1.96808,1.30578,1.48859,0.00106463,0.00106463,0.00106463
75,289.403,1.85626,1.17675,1.319,0.54574,0.44871,0.49215,0.1854,2.12887,1.41576,1.63199,0.00105638,0.00105638,0.00105638
76,293.207,1.82598,1.16627,1.31774,0.54713,0.40766,0.46997,0.1771,2.14645,1.47858,1.64678,0.00104813,0.00104813,0.00104813
77,297.06,1.82479,1.16959,1.30732,0.48136,0.47791,0.45508,0.17388,2.08682,1.38846,1.58329,0.00103987,0.00103987,0.00103987
