epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,229.637,2.30177,1.16804,1.26927,0.56787,0.47751,0.47736,0.18226,2.90899,1.42679,1.63307,0.0068815,0.0068815,0.0068815
65,233.097,2.29644,1.15933,1.27446,0.55968,0.47257,0.47395,0.18656,2.76345,1.39542,1.55227,0.006832,0.006832,0.006832
66,236.645,2.29527,1.1603,1.25926,0.55307,0.43002,0.4295,0.17751,2.7455,1.57575,1.54307,0.0067825,0.0067825,0.0067825
67,240.193,2.26574,1.14178,1.2581,0.6,0.46778,0.50245,0.1996,2.6728,1.38775,1.49771,0.006733,0.006733,0.006733
68,243.747,2.30106,1.16793,1.26865,0.55408,0.48612,0.48582,0.19114,2.76384,1.33981,1.55729,0.0066835,0.0066835,0.0066835
69,247.291,2.31228,1.19344,1.29114,0.61918,0.4437,0.49964,0.19135,2.85118,1.46679,1.59341,0.006634,0.006634,0.006634
70,250.829,2.29144,1.14374,1.28094,0.61467,0.47185,0.50456,0.20088,2.65847,1.42471,1.47848,0.0065845,0.0065845,0.0065845
71,254.275,2.22179,1.1316,1.24632,0.59614,0.47424,0.51676,0.20576,2.65986,1.38785,1.47022,0.006535,0.006535,0.006535
72,257.825,2.24449,1.12695,1.25872,0.50455,0.45182,0.45009,0.17518,2.8389,1.48472,1.58403,0.0064855,0.0064855,0.0064855
73,261.367,2.21575,1.11874,1.23278,0.54945,0.41047,0.43634,0.1762,2.82553,1.52656,1.58291,0.006436,0.006436,0.006436
74,264.916,2.19934,1.11855,1.21621,0.63596,0.49841,0.51315,0.20552,2.68446,1.29912,1.49332,0.0063865,0.0063865,0.0063865
75,268.359,2.21572,1.10334,1.23572,0.5713,0.46699,0.50167,0.19754,2.69583,1.37952,1.48652,0.006337,0.006337,0.006337
76,271.789,2.25194,1.09998,1.26134,0.58877,0.45399,0.49014,0.18968,2.85588,1.37716,1.59233,0.0062875,0.0062875,0.0062875
77,275.368,2.22572,1.10006,1.24145,0.5592,0.48198,0.47006,0.18268,2.78361,1.38101,1.54666,0.006238,0.006238,0.006238
78,278.95,2.22626,1.09445,1.2176,0.56329,0.47085,0.50189,0.20086,2.68177,1.40653,1.48976,0.0061885,0.0061885,0.0061885
79,282.519,2.21531,1.10419,1.23449,0.54885,0.52695,0.52604,0.21334,2.62986,1.29931,1.47737,0.006139,0.006139,0.006139
80,286.074,2.16657,1.07021,1.23308,0.58016,0.43071,0.47723,0.186,2.79485,1.49332,1.56895,0.0060895,0.0060895,0.0060895
81,289.494,2.22897,1.08832,1.25882,0.59107,0.41227,0.49065,0.19417,2.72826,1.44006,1.51859,0.00604,0.00604,0.00604
82,293.065,2.22124,1.07381,1.22629,0.62386,0.424,0.50404,0.2004,2.79248,1.37918,1.54777,0.0059905,0.0059905,0.0059905
83,296.639,2.17529,1.05457,1.22596,0.61392,0.49044,0.52411,0.20295,2.72427,1.30424,1.51947,0.005941,0.005941,0.005941
84,300.178,2.18523,1.06412,1.2345,0.55919,0.43879,0.48016,0.18295,2.82201,1.35939,1.5858,0.0058915,0.0058915,0.0058915
85,303.79,2.16688,1.0528,1.2094,0.60193,0.43214,0.49522,0.1938,2.77389,1.35298,1.55789,0.005842,0.005842,0.005842
86,307.321,2.1492,1.04328,1.21431,0.61832,0.45949,0.5381,0.223,2.6003,1.30077,1.45589,0.0057925,0.0057925,0.0057925
87,310.932,2.15666,1.04705,1.20516,0.56285,0.4819,0.52917,0.21694,2.61524,1.31622,1.45896,0.005743,0.005743,0.005743
88,314.515,2.1412,1.04335,1.20576,0.54638,0.46634,0.4978,0.19882,2.75221,1.39594,1.55057,0.0056935,0.0056935,0.0056935
