stem,source_video,dist
image_0639,IMG_3934.MOV,0.6039
image_0642,IMG_3921.MOV,0.6391
image_0659,IMG_3921.MOV,0.4262
image_0661,IMG_3921.MOV,0.4056
image_0667,IMG_3913.MOV,0.4581
image_0669,IMG_3913.MOV,0.4276
image_0670,IMG_3921.MOV,0.3621
image_0678,IMG_3921.MOV,0.3487
image_0679,IMG_3913.MOV,0.3758
image_0692,IMG_3916.MOV,0.471
image_0708,IMG_3913.MOV,0.6954
image_0737,IMG_3916.MOV,0.5013
image_0741,IMG_3921.MOV,0.4653
image_0745,IMG_3909.MOV,0.4196
image_0748,IMG_3934.MOV,0.4881
image_0755,IMG_3909.MOV,0.4681
image_0761,IMG_3916.MOV,0.4669
image_0766,IMG_3909.MOV,0.5807
image_0773,IMG_3921.MOV,0.4135
image_0777,IMG_3921.MOV,0.4051
image_0778,IMG_3916.MOV,0.4396
image_0780,IMG_3913.MOV,0.4679
image_0790,IMG_3913.MOV,0.4938
image_0795,IMG_3913.MOV,0.4207
image_0800,IMG_3921.MOV,0.4225
image_0806,IMG_3913.MOV,0.4829
image_0810,IMG_3921.MOV,0.4397
image_0820,IMG_3921.MOV,0.4661
image_0838,IMG_3913.MOV,0.6134
image_0846,IMG_3937.MOV,0.7672
image_0848,IMG_3921.MOV,0.6092
image_0853,IMG_3916.MOV,0.4588
image_0855,IMG_3916.MOV,0.4338
image_0856,IMG_3913.MOV,0.4839
image_0857,IMG_3913.MOV,0.5457
image_0863,IMG_3916.MOV,0.6877
image_0864,IMG_3934.MOV,0.7175
image_0870,IMG_3916.MOV,0.6053
image_0881,IMG_3934.MOV,0.6466
image_0887,IMG_3934.MOV,0.632
image_0889,IMG_3934.MOV,0.5747
image_0894,IMG_3934.MOV,0.5788
image_0896,IMG_3934.MOV,0.6614
image_0898,IMG_3934.MOV,0.694
image_0902,IMG_3934.MOV,0.6479
image_0905,IMG_3934.MOV,0.5371
image_0909,IMG_3934.MOV,0.5614
image_0923,IMG_3934.MOV,0.5411
image_0929,IMG_3934.MOV,0.5651
image_0938,IMG_3934.MOV,0.6847
image_0939,IMG_3934.MOV,0.6514
image_0940,IMG_3934.MOV,0.6845
image_0945,IMG_3934.MOV,0.7444
image_0946,IMG_3934.MOV,0.72
image_0952,IMG_3916.MOV,0.7167
image_0963,IMG_3934.MOV,0.7187
image_0966,IMG_3934.MOV,0.7241
image_0975,IMG_3934.MOV,0.7465
image_0976,IMG_3934.MOV,0.667
image_0977,IMG_3934.MOV,0.7252
image_0982,IMG_3934.MOV,0.7207
image_0983,IMG_3934.MOV,0.7581
image_0993,IMG_3909.MOV,0.7206
image_0996,IMG_3916.MOV,0.7019
image_1005,IMG_3916.MOV,0.6611
image_1009,IMG_3934.MOV,0.6073
image_1016,IMG_3913.MOV,0.6075
image_1021,IMG_3913.MOV,0.4535
image_1027,IMG_3921.MOV,0.4999
image_1033,IMG_3917.MOV,0.4468
image_1190,IMG_3921.MOV,0.7587
image_1195,IMG_3921.MOV,0.7709
image_1196,IMG_3921.MOV,0.8132
image_1197,IMG_3921.MOV,0.8005
image_1199,IMG_3921.MOV,0.8099
image_1206,IMG_3934.MOV,0.7413
image_1209,IMG_3934.MOV,0.7505
image_1213,IMG_3916.MOV,0.8147
image_1221,IMG_3934.MOV,0.8035
image_1229,IMG_3913.MOV,0.7892
image_1230,IMG_3921.MOV,0.8309
image_1235,IMG_3934.MOV,0.8535
image_1239,IMG_3944.MOV,0.835
image_1251,IMG_3905.MOV,0.7696
image_1253,IMG_3921.MOV,0.7616
image_1254,IMG_3934.MOV,0.8029
image_1255,IMG_3917.MOV,0.8077
image_1257,IMG_3917.MOV,0.7994
image_1259,IMG_3916.MOV,0.7813
image_1264,IMG_3944.MOV,0.8158
image_1295,IMG_3938.MOV,0.7884
image_1304,IMG_3935.MOV,0.8302
image_1314,IMG_3938.MOV,0.7822
image_1435,IMG_3928.MOV,0.6844
image_1436,IMG_3922.MOV,0.6918
image_1438,IMG_3934.MOV,0.7372
image_1452,IMG_3913.MOV,0.7294
image_1458,IMG_3928.MOV,0.6006
image_1467,IMG_3925.MOV,0.8062
image_1468,IMG_3925.MOV,0.8182
image_1474,IMG_3925.MOV,0.8229
image_1505,IMG_3928.MOV,0.8569
image_1507,IMG_3921.MOV,0.8056
image_1511,IMG_3928.MOV,0.857
image_1548,IMG_3923.MOV,0.8253
image_1552,IMG_3928.MOV,0.8842
image_1556,IMG_3923.MOV,0.8166
image_1557,IMG_3909.MOV,0.9091
image_1639,IMG_3935.MOV,0.7431
image_1641,IMG_3935.MOV,0.7514
image_1660,IMG_3935.MOV,0.72
image_1662,IMG_3935.MOV,0.6834
image_1683,IMG_3935.MOV,0.8078
image_1686,IMG_3935.MOV,0.8007
image_1688,IMG_3935.MOV,0.8219
image_1689,IMG_3925.MOV,0.8465
image_1692,IMG_3935.MOV,0.8748
image_1716,IMG_3935.MOV,0.764
image_1719,IMG_3935.MOV,0.7841
image_1720,IMG_3935.MOV,0.7338
image_1721,IMG_3935.MOV,0.734
image_1722,IMG_3935.MOV,0.7262
image_1723,IMG_3935.MOV,0.7174
image_1724,IMG_3935.MOV,0.7414
image_1740,IMG_3935.MOV,0.7032
image_1743,IMG_3935.MOV,0.727
image_1745,IMG_3935.MOV,0.7026
image_1747,IMG_3935.MOV,0.72
image_1749,IMG_3935.MOV,0.6827
image_1754,IMG_3935.MOV,0.6723
image_1763,IMG_3935.MOV,0.7023
image_1765,IMG_3935.MOV,0.6983
image_1813,IMG_3935.MOV,0.8432
image_1849,IMG_3914.MOV,0.8093
image_0012,IMG_3933.MOV,0.6849
image_0013,IMG_3925.MOV,0.7431
image_0014,IMG_3908.MOV,0.8321
image_0019,IMG_3924.MOV,0.6796
image_0020,IMG_3913.MOV,0.5371
image_0021,IMG_3934.MOV,0.5092
image_0022,IMG_3921.MOV,0.5041
image_0024,IMG_3934.MOV,0.6172
image_0025,IMG_3928.MOV,0.5401
image_0027,IMG_3905.MOV,0.4568
image_0028,IMG_3921.MOV,0.4618
image_0032,IMG_3935.MOV,0.7498
image_0034,IMG_3917.MOV,0.8186
image_0035,IMG_3917.MOV,0.8296
image_0037,IMG_3905.MOV,0.8069
image_0038,IMG_3933.MOV,0.8243
image_0039,IMG_3937.MOV,0.8319
image_0049,IMG_3928.MOV,0.7627
image_0050,IMG_3928.MOV,0.7695
image_0052,IMG_3917.MOV,0.6981
image_0056,IMG_3935.MOV,0.8453
image_0057,IMG_3935.MOV,0.798
image_0059,IMG_3932.MOV,0.8442
image_0060,IMG_3934.MOV,0.8129
image_0062,IMG_3909.MOV,0.8112
image_0066,IMG_3936.MOV,0.7976
image_0067,IMG_3932.MOV,0.7948
image_0068,IMG_3922.MOV,0.7947
image_0069,IMG_3944.MOV,0.7222
image_0070,IMG_3928.MOV,0.5626
image_0072,IMG_3934.MOV,0.7673
image_0073,IMG_3922.MOV,0.8099
image_0074,IMG_3921.MOV,0.77
image_0076,IMG_3923.MOV,0.7874
image_0079,IMG_3928.MOV,0.6903
image_0084,IMG_3913.MOV,0.7264
image_0085,IMG_3921.MOV,0.469
image_0087,IMG_3921.MOV,0.4629
image_0090,IMG_3921.MOV,0.6394
image_0093,IMG_3934.MOV,0.6328
image_0094,IMG_3924.MOV,0.6657
image_0096,IMG_3909.MOV,0.7562
image_0097,IMG_3916.MOV,0.6442
image_0103,IMG_3934.MOV,0.6906
image_0104,IMG_3916.MOV,0.7222
image_0105,IMG_3917.MOV,0.8334
image_0111,IMG_3916.MOV,0.7701
image_0116,IMG_3928.MOV,0.7817
image_0117,IMG_3928.MOV,0.8111
image_0129,IMG_3934.MOV,0.813
image_0131,IMG_3944.MOV,0.8634
image_0133,IMG_3928.MOV,0.698
image_0135,IMG_3922.MOV,0.7309
image_0138,IMG_3920.MOV,0.8306
image_0139,IMG_3925.MOV,0.7899
image_0153,IMG_3928.MOV,0.5419
image_0155,IMG_3928.MOV,0.6076
image_0156,IMG_3921.MOV,0.4636
image_0158,IMG_3922.MOV,0.7746
image_0160,IMG_3917.MOV,0.8182
image_0161,IMG_3909.MOV,0.7834
image_0167,IMG_3936.MOV,0.5286
