epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,222.189,1.92942,1.26123,1.41233,0.45628,0.43405,0.40794,0.16129,2.13556,1.49531,1.73003,0.0011719,0.0011719,0.0011719
62,225.793,1.90417,1.26046,1.391,0.51169,0.40359,0.41607,0.14657,2.21755,1.53569,1.79563,0.00116365,0.00116365,0.00116365
63,229.391,1.86411,1.23034,1.37561,0.4193,0.46881,0.43249,0.18357,2.01355,1.44842,1.59438,0.0011554,0.0011554,0.0011554
64,232.999,1.91372,1.26746,1.40062,0.42566,0.43509,0.42099,0.17744,2.02849,1.50876,1.61013,0.00114715,0.00114715,0.00114715
65,236.503,1.85449,1.23147,1.39956,0.49532,0.42274,0.42959,0.17434,2.04033,1.45412,1.65479,0.00113889,0.00113889,0.00113889
66,240.034,1.89397,1.2216,1.39935,0.46232,0.42057,0.41688,0.15805,2.13064,1.46712,1.72931,0.00113064,0.00113064,0.00113064
67,243.621,1.85371,1.19837,1.38562,0.53752,0.41101,0.44599,0.17773,2.02559,1.52015,1.6492,0.00112239,0.00112239,0.00112239
68,247.209,1.90352,1.25112,1.41382,0.6416,0.43365,0.46844,0.18305,2.03429,1.45613,1.66078,0.00111414,0.00111414,0.00111414
69,250.806,1.91225,1.27819,1.43186,0.70312,0.43678,0.4715,0.18855,2.00662,1.40601,1.62305,0.00110589,0.00110589,0.00110589
70,254.396,1.89131,1.2507,1.40791,0.44817,0.46635,0.46908,0.19271,1.95949,1.47359,1.59345,0.00109764,0.00109764,0.00109764
71,257.902,1.87706,1.25064,1.39891,0.5006,0.43573,0.44254,0.17059,2.12594,1.53059,1.71184,0.00108938,0.00108938,0.00108938
72,261.505,1.8478,1.22099,1.38489,0.53696,0.49896,0.48457,0.18807,2.07588,1.38715,1.66168,0.00108113,0.00108113,0.00108113
