epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
14,160.125,1.09585,0.43997,0.29434,0.31078,0.43878,0.3641,0.14757,0.77533,0.54694,0.2486,0.00155973,0.00155973,0.00155973
15,171.608,1.03682,0.45238,0.25848,0.35622,0.43804,0.34557,0.12822,0.84792,0.52784,0.27064,0.00155148,0.00155148,0.00155148
16,182.968,0.97731,0.46635,0.24421,0.41451,0.47534,0.37692,0.14556,0.85339,0.51455,0.29273,0.00154323,0.00154323,0.00154323
17,194.338,0.96783,0.47491,0.26497,0.53345,0.33907,0.3329,0.11628,0.98772,0.48243,0.34801,0.00153497,0.00153497,0.00153497
18,205.729,1.0323,0.45696,0.25152,0.58313,0.36627,0.4076,0.1665,0.87832,0.5249,0.30685,0.00152672,0.00152672,0.00152672
19,217.212,0.9387,0.4668,0.22379,0.61386,0.49528,0.46967,0.19553,0.77325,0.51499,0.26571,0.00151847,0.00151847,0.00151847
20,228.729,0.96426,0.48967,0.24191,0.61094,0.46081,0.47079,0.20676,0.75489,0.58836,0.25646,0.00151022,0.00151022,0.00151022
21,240.212,0.96778,0.48151,0.2292,0.67209,0.45399,0.4859,0.217,0.75287,0.518,0.24085,0.00150197,0.00150197,0.00150197
22,251.713,0.92479,0.46327,0.2104,0.61512,0.43816,0.46558,0.20487,0.74458,0.532,0.25168,0.00149372,0.00149372,0.00149372
23,263.081,0.8529,0.46482,0.20093,0.60532,0.44928,0.4662,0.20819,0.78458,0.50454,0.25087,0.00148546,0.00148546,0.00148546
24,274.467,0.92722,0.44867,0.22197,0.57529,0.42169,0.42546,0.16555,1.04074,0.42512,0.39746,0.00147721,0.00147721,0.00147721
25,285.802,0.83366,0.47577,0.19518,0.66276,0.4559,0.45991,0.20435,0.81773,0.49507,0.27275,0.00146896,0.00146896,0.00146896
26,297.185,0.87748,0.46868,0.18695,0.59206,0.47528,0.45882,0.19906,0.79348,0.50066,0.26988,0.00146071,0.00146071,0.00146071
27,308.569,0.86171,0.46704,0.20263,0.69134,0.4173,0.44787,0.17845,0.97254,0.46319,0.34436,0.00145246,0.00145246,0.00145246
28,319.943,0.83425,0.46151,0.18457,0.63961,0.41582,0.43656,0.15681,1.07833,0.44878,0.39822,0.00144421,0.00144421,0.00144421
29,331.33,0.88057,0.45387,0.20406,0.68868,0.45418,0.46599,0.20088,0.91653,0.47183,0.32944,0.00143595,0.00143595,0.00143595
30,342.689,0.81581,0.46865,0.18321,0.66838,0.45047,0.47902,0.21351,0.86455,0.48567,0.2979,0.0014277,0.0014277,0.0014277
31,354.114,0.82927,0.46635,0.18458,0.66974,0.46796,0.49624,0.21721,0.78529,0.50506,0.26236,0.00141945,0.00141945,0.00141945
32,365.597,0.79389,0.48877,0.18142,0.7181,0.46364,0.48292,0.21092,0.8114,0.49404,0.27596,0.0014112,0.0014112,0.0014112
33,376.984,0.8175,0.49017,0.17948,0.63243,0.43628,0.45233,0.19173,0.94681,0.46684,0.35813,0.00140295,0.00140295,0.00140295
34,388.342,0.79429,0.47983,0.1747,0.67646,0.41403,0.44434,0.18147,1.06565,0.47669,0.39281,0.0013947,0.0013947,0.0013947
35,399.732,0.80989,0.46954,0.17804,0.74001,0.47217,0.52062,0.22923,0.74335,0.5139,0.22689,0.00138644,0.00138644,0.00138644
36,411.195,0.81205,0.48177,0.17343,0.69559,0.42727,0.47541,0.1879,0.84628,0.48724,0.27287,0.00137819,0.00137819,0.00137819
37,422.58,0.81107,0.48503,0.17895,0.70633,0.47227,0.50509,0.21421,0.82024,0.51615,0.28017,0.00136994,0.00136994,0.00136994
38,433.922,0.76391,0.50745,0.16824,0.72024,0.48513,0.52281,0.21991,0.77714,0.5091,0.25044,0.00136169,0.00136169,0.00136169
39,445.307,0.76915,0.48059,0.17268,0.69853,0.47995,0.50019,0.20149,0.7841,0.52795,0.24432,0.00135344,0.00135344,0.00135344
40,456.635,0.71275,0.50853,0.15475,0.73035,0.51954,0.53061,0.23389,0.71486,0.54381,0.21684,0.00134519,0.00134519,0.00134519
41,468.108,0.74955,0.48352,0.16733,0.72582,0.4132,0.47983,0.20579,0.91893,0.47986,0.31865,0.00133693,0.00133693,0.00133693
42,479.455,0.76742,0.48865,0.17063,0.71502,0.35697,0.43215,0.17445,1.11501,0.45609,0.42554,0.00132868,0.00132868,0.00132868
43,490.849,0.76896,0.4746,0.16644,0.75309,0.51506,0.53843,0.25142,0.71587,0.51442,0.21784,0.00132043,0.00132043,0.00132043
44,502.313,0.76571,0.46836,0.16058,0.83596,0.48174,0.55443,0.25937,0.69349,0.51648,0.21008,0.00131218,0.00131218,0.00131218
45,513.818,0.77887,0.47744,0.17106,0.80883,0.47145,0.51523,0.21488,0.89757,0.48368,0.31248,0.00130393,0.00130393,0.00130393
46,525.186,0.75401,0.48063,0.14906,0.68363,0.45207,0.4632,0.18914,1.07683,0.45752,0.42136,0.00129568,0.00129568,0.00129568
47,536.575,0.76766,0.47657,0.16529,0.73615,0.52516,0.56041,0.24845,0.73952,0.50066,0.23445,0.00128742,0.00128742,0.00128742
48,547.946,0.74625,0.51052,0.16611,0.73206,0.50536,0.55354,0.25295,0.68279,0.56608,0.20707,0.00127917,0.00127917,0.00127917
49,559.344,0.77071,0.50302,0.16474,0.78809,0.48906,0.55235,0.25804,0.67297,0.52553,0.1967,0.00127092,0.00127092,0.00127092
50,570.707,0.72686,0.48136,0.14283,0.82684,0.4725,0.51175,0.22606,0.80167,0.50278,0.2618,0.00126267,0.00126267,0.00126267
51,582.083,0.73244,0.49134,0.15596,0.66979,0.52839,0.51996,0.23288,0.77985,0.48595,0.25154,0.00125442,0.00125442,0.00125442
52,593.458,0.6991,0.47806,0.14538,0.7146,0.52111,0.56414,0.26533,0.7104,0.50545,0.21547,0.00124617,0.00124617,0.00124617
53,604.898,0.68012,0.5057,0.15784,0.72759,0.52308,0.5475,0.23981,0.81976,0.48207,0.27982,0.00123791,0.00123791,0.00123791
54,616.277,0.76366,0.48002,0.16853,0.59889,0.34299,0.34326,0.10759,1.4091,0.37555,0.56495,0.00122966,0.00122966,0.00122966
55,627.648,0.72054,0.49708,0.15369,0.84416,0.46659,0.5474,0.24719,0.69955,0.52215,0.20365,0.00122141,0.00122141,0.00122141
56,639.027,0.72403,0.48555,0.14335,0.80591,0.49532,0.55464,0.26353,0.66781,0.52677,0.19829,0.00121316,0.00121316,0.00121316
57,650.409,0.75731,0.47877,0.16631,0.70555,0.51534,0.56621,0.24434,0.70164,0.53379,0.21316,0.00120491,0.00120491,0.00120491
58,661.776,0.74562,0.47045,0.1583,0.72798,0.48408,0.55076,0.22614,0.75342,0.54637,0.2381,0.00119666,0.00119666,0.00119666
59,673.181,0.71218,0.48679,0.16323,0.67128,0.47502,0.54531,0.22558,0.79356,0.52526,0.26046,0.0011884,0.0011884,0.0011884
60,684.563,0.70851,0.48027,0.15814,0.64742,0.46199,0.50822,0.20028,0.87913,0.49381,0.29431,0.00118015,0.00118015,0.00118015
61,695.959,0.68095,0.48509,0.13636,0.74663,0.47998,0.54379,0.25479,0.7804,0.49481,0.25408,0.0011719,0.0011719,0.0011719
62,707.367,0.7045,0.47182,0.14437,0.72687,0.46292,0.5324,0.25111,0.79124,0.49286,0.2535,0.00116365,0.00116365,0.00116365
63,718.775,0.70716,0.47014,0.13426,0.76533,0.49435,0.53201,0.23596,0.7498,0.51588,0.23255,0.0011554,0.0011554,0.0011554
64,730.109,0.66663,0.48629,0.14492,0.78783,0.52297,0.55906,0.25942,0.72275,0.50317,0.22177,0.00114715,0.00114715,0.00114715
65,741.466,0.66776,0.47536,0.13795,0.69593,0.4622,0.50743,0.21719,0.93798,0.45713,0.31657,0.00113889,0.00113889,0.00113889
66,752.886,0.74151,0.46997,0.15287,0.64282,0.45024,0.49247,0.20927,0.923,0.46537,0.30609,0.00113064,0.00113064,0.00113064
67,764.287,0.71182,0.4663,0.14715,0.65371,0.53062,0.5665,0.26458,0.68962,0.5159,0.20612,0.00112239,0.00112239,0.00112239
68,775.69,0.71006,0.48001,0.14874,0.62411,0.55218,0.57204,0.27771,0.64989,0.52201,0.20111,0.00111414,0.00111414,0.00111414
69,787.2,0.6933,0.47074,0.14376,0.749,0.47951,0.55908,0.23758,0.76411,0.52766,0.24093,0.00110589,0.00110589,0.00110589
70,798.617,0.69193,0.47421,0.14256,0.70095,0.44492,0.52136,0.21848,0.81784,0.52734,0.26932,0.00109764,0.00109764,0.00109764
71,810.001,0.6497,0.48816,0.13291,0.71865,0.52153,0.57899,0.24835,0.70602,0.51288,0.22484,0.00108938,0.00108938,0.00108938
72,821.372,0.65603,0.48363,0.14033,0.66392,0.52297,0.56628,0.23561,0.75016,0.50793,0.2428,0.00108113,0.00108113,0.00108113
73,832.804,0.68525,0.48071,0.13825,0.66067,0.49173,0.53746,0.22137,0.86518,0.47475,0.28835,0.00107288,0.00107288,0.00107288
74,844.182,0.69421,0.48708,0.14345,0.66768,0.53174,0.55107,0.234,0.85843,0.4666,0.27957,0.00106463,0.00106463,0.00106463
75,855.582,0.67439,0.47522,0.13647,0.73549,0.54099,0.56847,0.25595,0.78686,0.50179,0.25212,0.00105638,0.00105638,0.00105638
76,866.938,0.63684,0.48892,0.12791,0.74855,0.52955,0.56743,0.25945,0.7625,0.50648,0.24151,0.00104813,0.00104813,0.00104813
77,878.344,0.67895,0.47459,0.13154,0.74636,0.4718,0.52665,0.22752,0.85732,0.48246,0.29503,0.00103987,0.00103987,0.00103987
78,889.703,0.6486,0.47718,0.12401,0.74494,0.45894,0.52749,0.23137,0.83847,0.49437,0.2877,0.00103162,0.00103162,0.00103162
79,901.137,0.66301,0.47781,0.12629,0.71328,0.4933,0.53434,0.23012,0.77695,0.50756,0.25397,0.00102337,0.00102337,0.00102337
80,912.542,0.64597,0.48433,0.1264,0.71932,0.48764,0.53386,0.23529,0.74844,0.51184,0.24296,0.00101512,0.00101512,0.00101512
81,923.925,0.63658,0.48237,0.13279,0.67817,0.4999,0.55033,0.23749,0.79719,0.50854,0.25667,0.00100687,0.00100687,0.00100687
82,935.305,0.64593,0.47897,0.12197,0.66339,0.49818,0.55527,0.23597,0.81195,0.51151,0.26779,0.000998616,0.000998616,0.000998616
83,946.646,0.61256,0.49149,0.12482,0.68016,0.48166,0.54526,0.23808,0.78239,0.51136,0.25317,0.000990365,0.000990365,0.000990365
84,957.991,0.64808,0.47753,0.13154,0.71536,0.45933,0.53374,0.2298,0.80887,0.50268,0.26145,0.000982113,0.000982113,0.000982113
85,969.425,0.66116,0.46886,0.12864,0.73921,0.4335,0.5021,0.21908,0.90699,0.49002,0.32219,0.000973861,0.000973861,0.000973861
86,980.768,0.67307,0.48324,0.12647,0.76269,0.41167,0.48893,0.20769,0.95261,0.49767,0.36004,0.00096561,0.00096561,0.00096561
87,992.179,0.741,0.50636,0.13795,0.70648,0.49372,0.53074,0.24012,0.78992,0.49852,0.26792,0.000957358,0.000957358,0.000957358
88,1003.58,0.67508,0.47719,0.12898,0.73957,0.49828,0.54088,0.24056,0.73828,0.50531,0.2329,0.000949106,0.000949106,0.000949106
