epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
25,285.341,0.82615,0.46612,0.18971,0.7705,0.48788,0.51105,0.23182,0.73783,0.49739,0.2279,0.00146896,0.00146896,0.00146896
26,296.808,0.87032,0.45451,0.18213,0.8099,0.48273,0.51072,0.22982,0.73332,0.5037,0.22637,0.00146071,0.00146071,0.00146071
27,308.181,0.85308,0.46635,0.19658,0.73899,0.47894,0.48227,0.20157,0.84815,0.46553,0.3106,0.00145246,0.00145246,0.00145246
28,319.524,0.83819,0.45962,0.17704,0.73409,0.45374,0.45989,0.18572,0.96276,0.44928,0.34983,0.00144421,0.00144421,0.00144421
29,330.88,0.84853,0.45118,0.18073,0.74095,0.47716,0.50907,0.21988,0.80847,0.48061,0.26347,0.00143595,0.00143595,0.00143595
30,342.211,0.80172,0.46641,0.17575,0.74633,0.51076,0.53475,0.23207,0.71891,0.50106,0.22977,0.0014277,0.0014277,0.0014277
31,353.707,0.8197,0.45679,0.1823,0.78667,0.4685,0.50514,0.21579,0.84095,0.47472,0.2907,0.00141945,0.00141945,0.00141945
32,365.064,0.80805,0.46332,0.17657,0.72849,0.46348,0.49597,0.20909,0.86271,0.47546,0.28907,0.0014112,0.0014112,0.0014112
33,376.438,0.7979,0.46152,0.16778,0.69885,0.45004,0.48822,0.21442,0.82766,0.49284,0.27656,0.00140295,0.00140295,0.00140295
34,387.755,0.77866,0.4659,0.17171,0.68452,0.43126,0.46978,0.20162,0.89793,0.47965,0.30619,0.0013947,0.0013947,0.0013947
35,399.122,0.78578,0.45854,0.16747,0.74151,0.50922,0.5421,0.23218,0.75609,0.49413,0.23355,0.00138644,0.00138644,0.00138644
36,410.574,0.76543,0.46504,0.16615,0.75192,0.48762,0.53552,0.23176,0.75788,0.49291,0.24709,0.00137819,0.00137819,0.00137819
37,421.957,0.7927,0.45628,0.1713,0.77469,0.50506,0.54415,0.23773,0.7672,0.49342,0.25652,0.00136994,0.00136994,0.00136994
38,433.39,0.77015,0.46432,0.16838,0.74471,0.48485,0.52505,0.22112,0.82007,0.50136,0.28173,0.00136169,0.00136169,0.00136169
39,444.765,0.77644,0.47326,0.17009,0.74095,0.43541,0.47206,0.18401,1.08697,0.45401,0.40073,0.00135344,0.00135344,0.00135344
40,456.061,0.72461,0.47546,0.15492,0.71013,0.46953,0.49245,0.2037,0.90843,0.47982,0.30722,0.00134519,0.00134519,0.00134519
41,467.405,0.75402,0.47058,0.17295,0.74835,0.49617,0.53488,0.23204,0.74148,0.50558,0.2278,0.00133693,0.00133693,0.00133693
42,478.731,0.73983,0.48123,0.16213,0.69939,0.44376,0.49006,0.20368,0.87418,0.47938,0.2839,0.00132868,0.00132868,0.00132868
43,490.094,0.76126,0.45554,0.15842,0.73394,0.42608,0.48492,0.20066,0.98784,0.47605,0.34861,0.00132043,0.00132043,0.00132043
44,501.431,0.75652,0.45924,0.15076,0.69771,0.46563,0.502,0.21194,0.8538,0.48977,0.2803,0.00131218,0.00131218,0.00131218
45,512.805,0.76736,0.46451,0.16327,0.83011,0.48149,0.54388,0.24237,0.69582,0.50475,0.22201,0.00130393,0.00130393,0.00130393
46,524.249,0.74152,0.46357,0.14517,0.71958,0.52488,0.54047,0.24145,0.71365,0.4979,0.23538,0.00129568,0.00129568,0.00129568
47,535.607,0.74447,0.46296,0.15044,0.75976,0.4366,0.49281,0.20319,0.91973,0.46309,0.31003,0.00128742,0.00128742,0.00128742
48,546.944,0.74163,0.47028,0.16689,0.75313,0.49274,0.53758,0.23695,0.7786,0.48714,0.2505,0.00127917,0.00127917,0.00127917
49,558.331,0.73757,0.46184,0.15267,0.7915,0.40434,0.48321,0.18756,0.93839,0.4663,0.31035,0.00127092,0.00127092,0.00127092
50,569.68,0.72978,0.4588,0.14501,0.7204,0.46093,0.51899,0.21583,0.84839,0.4931,0.27467,0.00126267,0.00126267,0.00126267
51,581.035,0.71255,0.4695,0.14379,0.67212,0.49984,0.53798,0.21165,0.88475,0.47044,0.30395,0.00125442,0.00125442,0.00125442
52,592.39,0.69597,0.46955,0.1422,0.75156,0.5067,0.55113,0.22635,0.79527,0.4936,0.2655,0.00124617,0.00124617,0.00124617
53,603.721,0.65714,0.48809,0.14612,0.75953,0.49966,0.53372,0.23718,0.76126,0.49456,0.25216,0.00123791,0.00123791,0.00123791
54,615.059,0.68932,0.47358,0.1461,0.75961,0.42041,0.48158,0.18198,0.97518,0.47166,0.35978,0.00122966,0.00122966,0.00122966
55,626.402,0.6757,0.47888,0.14257,0.79597,0.51962,0.56492,0.25751,0.68599,0.52227,0.21931,0.00122141,0.00122141,0.00122141
56,637.865,0.7185,0.46474,0.14928,0.79408,0.51555,0.56637,0.25931,0.6706,0.52832,0.21315,0.00121316,0.00121316,0.00121316
57,649.342,0.72496,0.46974,0.15395,0.75958,0.50923,0.56917,0.24674,0.77314,0.5127,0.2498,0.00120491,0.00120491,0.00120491
58,660.7,0.71607,0.46561,0.13975,0.73084,0.49848,0.56166,0.22997,0.83832,0.50005,0.28507,0.00119666,0.00119666,0.00119666
59,672.056,0.67554,0.48422,0.14986,0.78964,0.49274,0.57432,0.25637,0.81065,0.49989,0.27691,0.0011884,0.0011884,0.0011884
60,683.381,0.69316,0.47743,0.15629,0.80108,0.45463,0.53864,0.24236,0.88331,0.47546,0.31354,0.00118015,0.00118015,0.00118015
61,694.733,0.69304,0.47805,0.13782,0.77603,0.51101,0.56663,0.25905,0.77768,0.48902,0.24981,0.0011719,0.0011719,0.0011719
62,706.083,0.68147,0.47532,0.132,0.75264,0.5092,0.55901,0.26347,0.76626,0.48803,0.24637,0.00116365,0.00116365,0.00116365
63,717.552,0.67964,0.46355,0.1233,0.7486,0.51093,0.55409,0.25183,0.826,0.47143,0.27211,0.0011554,0.0011554,0.0011554
64,728.865,0.63358,0.47658,0.12983,0.7602,0.51066,0.56965,0.25319,0.7797,0.48727,0.2492,0.00114715,0.00114715,0.00114715
65,740.2,0.64048,0.47121,0.13065,0.82268,0.49769,0.58596,0.25703,0.75244,0.50387,0.23041,0.00113889,0.00113889,0.00113889
66,751.571,0.68221,0.46698,0.13754,0.66993,0.53465,0.57861,0.24733,0.81538,0.49546,0.25827,0.00113064,0.00113064,0.00113064
67,762.949,0.66832,0.46196,0.13311,0.71703,0.44629,0.50702,0.2113,0.94555,0.47478,0.32451,0.00112239,0.00112239,0.00112239
68,774.321,0.66954,0.46829,0.13309,0.69296,0.4551,0.52219,0.22992,0.88024,0.47556,0.30196,0.00111414,0.00111414,0.00111414
69,785.699,0.66123,0.46267,0.13082,0.68351,0.50096,0.57285,0.27081,0.73424,0.50377,0.23634,0.00110589,0.00110589,0.00110589
70,797.177,0.67925,0.46616,0.13801,0.70603,0.47161,0.55839,0.25259,0.78997,0.50116,0.26081,0.00109764,0.00109764,0.00109764
71,808.544,0.64233,0.473,0.13173,0.75504,0.45231,0.5342,0.22318,0.8961,0.47563,0.31286,0.00108938,0.00108938,0.00108938
72,819.89,0.63882,0.46647,0.13043,0.76238,0.46603,0.55611,0.23986,0.8414,0.48101,0.29077,0.00108113,0.00108113,0.00108113
73,831.276,0.64733,0.46612,0.12493,0.80969,0.47081,0.57878,0.25688,0.77183,0.50006,0.24488,0.00107288,0.00107288,0.00107288
74,842.607,0.63676,0.47828,0.12441,0.80987,0.42669,0.54224,0.23573,0.93086,0.47244,0.3307,0.00106463,0.00106463,0.00106463
75,853.956,0.63534,0.47202,0.11779,0.82394,0.48301,0.57774,0.27165,0.73393,0.50394,0.23235,0.00105638,0.00105638,0.00105638
76,865.384,0.61693,0.49179,0.1182,0.76476,0.4827,0.56054,0.25548,0.77392,0.50055,0.24199,0.00104813,0.00104813,0.00104813
77,876.762,0.64641,0.48708,0.12684,0.75893,0.44952,0.54361,0.24079,0.9097,0.46839,0.30686,0.00103987,0.00103987,0.00103987
78,888.096,0.60405,0.47121,0.10964,0.75499,0.4748,0.56484,0.24956,0.83714,0.47193,0.27316,0.00103162,0.00103162,0.00103162
79,899.485,0.62849,0.47117,0.11367,0.75968,0.48142,0.53671,0.2335,0.85262,0.46031,0.2824,0.00102337,0.00102337,0.00102337
80,910.823,0.61748,0.46769,0.11649,0.74933,0.49841,0.53733,0.23986,0.84063,0.46497,0.27855,0.00101512,0.00101512,0.00101512
81,922.167,0.60345,0.4788,0.11969,0.78191,0.47855,0.57314,0.25918,0.76565,0.49538,0.25307,0.00100687,0.00100687,0.00100687
82,933.547,0.6281,0.46824,0.12017,0.68163,0.47373,0.5598,0.25565,0.81991,0.48774,0.26777,0.000998616,0.000998616,0.000998616
83,944.878,0.59637,0.48386,0.12192,0.70303,0.47094,0.55124,0.25992,0.82395,0.48181,0.27305,0.000990365,0.000990365,0.000990365
84,956.222,0.62926,0.47234,0.12226,0.66171,0.50066,0.54667,0.24624,0.79979,0.4858,0.24742,0.000982113,0.000982113,0.000982113
85,967.657,0.64644,0.47277,0.12002,0.72003,0.5243,0.56224,0.27391,0.7306,0.49267,0.23037,0.000973861,0.000973861,0.000973861
86,979.105,0.60274,0.47354,0.11579,0.69586,0.53923,0.5698,0.26932,0.76947,0.47672,0.24829,0.00096561,0.00096561,0.00096561
87,990.505,0.62942,0.45514,0.10932,0.62792,0.47022,0.52642,0.23127,0.89143,0.46031,0.30395,0.000957358,0.000957358,0.000957358
88,1001.87,0.61321,0.45936,0.11111,0.65449,0.45548,0.53896,0.24579,0.84895,0.47035,0.27975,0.000949106,0.000949106,0.000949106
89,1013.23,0.66276,0.46487,0.13441,0.71841,0.40104,0.46288,0.19102,1.05922,0.43313,0.39994,0.000940855,0.000940855,0.000940855
90,1024.55,0.59413,0.48628,0.1242,0.72676,0.42014,0.48283,0.21783,0.90158,0.47362,0.30142,0.000932603,0.000932603,0.000932603
91,1035.91,0.62432,0.47237,0.11668,0.60737,0.49886,0.53588,0.24822,0.76924,0.49561,0.24513,0.000924352,0.000924352,0.000924352
92,1047.22,0.59074,0.46962,0.11022,0.71082,0.426,0.51513,0.23161,0.83577,0.48616,0.27645,0.0009161,0.0009161,0.0009161
93,1058.56,0.58738,0.47645,0.11805,0.66633,0.39418,0.49006,0.20658,0.97514,0.45623,0.35471,0.000907848,0.000907848,0.000907848
94,1069.9,0.60172,0.46299,0.11409,0.66724,0.45798,0.52507,0.23284,0.8388,0.4803,0.28676,0.000899597,0.000899597,0.000899597
95,1081.29,0.62219,0.46556,0.11552,0.67132,0.56585,0.60041,0.28465,0.67821,0.51093,0.20865,0.000891345,0.000891345,0.000891345
96,1092.73,0.59186,0.46828,0.11695,0.78623,0.47927,0.5717,0.26443,0.75506,0.48597,0.24301,0.000883093,0.000883093,0.000883093
97,1104.13,0.60798,0.46016,0.11539,0.81459,0.44657,0.5442,0.24946,0.82102,0.47841,0.26788,0.000874842,0.000874842,0.000874842
98,1115.47,0.58755,0.45696,0.10648,0.78672,0.45213,0.56706,0.26354,0.74802,0.49667,0.24041,0.00086659,0.00086659,0.00086659
99,1126.84,0.56773,0.46212,0.10324,0.69132,0.4569,0.55833,0.24701,0.78935,0.49754,0.24977,0.000858338,0.000858338,0.000858338
100,1138.2,0.58513,0.45859,0.11329,0.69999,0.4439,0.54743,0.23078,0.8307,0.49654,0.27106,0.000850087,0.000850087,0.000850087
101,1149.56,0.56813,0.45484,0.10656,0.69542,0.4193,0.53424,0.23659,0.84061,0.4941,0.2849,0.000841835,0.000841835,0.000841835
102,1160.92,0.56782,0.45494,0.1086,0.69455,0.42568,0.52367,0.2377,0.84181,0.49245,0.28554,0.000833583,0.000833583,0.000833583
103,1172.28,0.56153,0.45432,0.10334,0.69348,0.4441,0.53505,0.23763,0.84386,0.48338,0.27747,0.000825332,0.000825332,0.000825332
104,1183.61,0.54544,0.45435,0.09634,0.62106,0.47931,0.54624,0.24306,0.81324,0.48723,0.26484,0.00081708,0.00081708,0.00081708
105,1195,0.57986,0.45295,0.10437,0.59917,0.49819,0.54126,0.24624,0.83462,0.48494,0.27605,0.000808828,0.000808828,0.000808828
106,1206.32,0.54576,0.45192,0.10872,0.55591,0.48844,0.5163,0.22733,0.9024,0.47327,0.30259,0.000800577,0.000800577,0.000800577
107,1217.67,0.56317,0.45248,0.10479,0.62477,0.46172,0.53057,0.23938,0.86271,0.48296,0.28418,0.000792325,0.000792325,0.000792325
108,1229.02,0.55282,0.45254,0.09607,0.6787,0.47026,0.5559,0.2484,0.79157,0.49718,0.25682,0.000784073,0.000784073,0.000784073
109,1240.42,0.56422,0.45409,0.10024,0.64528,0.45088,0.51434,0.22245,0.91042,0.48303,0.31671,0.000775822,0.000775822,0.000775822
110,1251.78,0.56933,0.44998,0.10215,0.57799,0.46954,0.51237,0.2285,0.89537,0.47497,0.3122,0.00076757,0.00076757,0.00076757
111,1263.13,0.547,0.45734,0.09839,0.69774,0.4697,0.56582,0.27318,0.70083,0.50931,0.22057,0.000759318,0.000759318,0.000759318
112,1274.5,0.55429,0.45172,0.09535,0.67368,0.46085,0.5454,0.23084,0.82571,0.49066,0.27083,0.000751067,0.000751067,0.000751067
113,1285.88,0.58416,0.45873,0.09829,0.75575,0.42908,0.51894,0.22317,0.90258,0.46333,0.31239,0.000742815,0.000742815,0.000742815
114,1297.22,0.55283,0.45808,0.09599,0.73843,0.45118,0.53772,0.23679,0.8091,0.48702,0.27379,0.000734564,0.000734564,0.000734564
115,1308.55,0.5341,0.46617,0.09936,0.6765,0.4891,0.57598,0.25423,0.71309,0.52804,0.22302,0.000726312,0.000726312,0.000726312
